I_J_HOP,I_R_DCR,I_R_AGO,I_T_TOLL,I_T_DEF2,I_T_PELLE,I_I_FADD,I_I_JNK,I_I_IKB,V_LHUV,V_KBV,V_DWV,V_BQCV,B_FA
0.68592801,0.480276936,1.228762865,0.952042662,1.098023306,1.103944597,1.109566245,1.335257578,1.266143348,4.626847671,0.0000238,0.002011239,0.004715644,1.917737744
0.746910594,0.52534339,1.14160565,1.158445355,1.194619442,1.310338568,1.207548169,1.612675649,1.626202517,0,0,0.079290949,1.33885E-05,0.9204982
0.574224711,0.442199599,1.281859962,0.852575045,0.889959303,1.015490052,0.957569943,1.229032327,1.135363623,0.000101074,0.0000508,3.78617E-05,1.27608E-05,0.134941522
0.832558205,0.551309891,1.27885377,1.197849938,1.23451655,1.358001513,1.245042655,1.588849788,1.654869704,0.001111883,0.003779358,0.001094282,6.26049E-05,0.131189291
0.467887404,0.462011945,1.312818553,0.621849558,0.646509767,0.81049325,0.64610475,1.02832473,0.820429975,0.002588157,0.001806015,196.8700719,0.028993367,0.342460017
0.611806454,0.473001121,1.218585759,0.886857734,0.832721859,1.066205425,0.851671911,1.516111785,1.197004042,0,0.001063751,0.045886068,0.000597273,1.332698571
0.581867814,0.640672598,1.296353682,0.82456027,0.789653817,1.028994285,0.778624658,1.373968785,1.171398076,0.002761511,0.000159502,1.351255041,0.025895564,1.560020863
0.601171614,0.546723524,1.411450216,0.753562678,0.800379123,0.92353059,0.738423161,1.350962192,1.080685507,0.00012206,1.008193663,3.151633991,0,0.703955289
0.81771341,0.545522023,1.335296595,1.220760986,1.15942494,1.229372513,1.191689091,1.404381524,1.855121688,0.000139748,0.261632341,3.151633991,0.000361683,0.213077926
0.855638916,0.489998007,1.280105112,1.313313521,1.206742754,1.320720537,1.150741862,1.494254422,2.050552455,0.426804265,0.0000278,0.006149138,0,2.144451705
0.824987711,0.561425796,1.314188051,1.314312271,1.166280081,1.258271969,1.295528612,1.534476289,1.637551435,0.00024979,0.018920305,68.64106348,0.000171683,4.245121639
0.893822963,0.598293193,1.329724904,1.406677036,1.247052442,1.367149112,1.290646694,1.624465562,1.765595461,0.000187354,0.002406802,0.000900616,0.000158657,0.183748929
0.857886246,0.529211852,1.208189535,1.198996587,1.037188723,1.446843378,0.738969412,1.400574279,1.336726534,0.00158831,0.025621406,6.617717475,0.000425014,6.624694189
0.741326243,0.447292733,1.150263015,1.189171289,0.995835351,1.511125678,0.778698092,1.361951692,1.257743632,0.001132081,0.11297137,0.720594843,0,3.538008262
0.807449692,0.550526504,1.27034425,1.237995586,1.096192346,1.737859135,0.84019706,1.476415533,1.329459983,0.019231585,0.173366036,0.3985141,0.003962928,9.305245192
0.734588761,0.541307356,1.263163202,1.257123688,1.026781474,1.529940094,0.773947449,1.41492173,1.303274045,0.072980873,0.001749836,0.383441814,0.001036028,10.2508157
0.819630509,0.51446612,1.297165128,1.373340872,1.20712252,1.816184056,0.978371552,1.712520359,1.464460482,0.003368821,0.022056145,24.95186254,0.009549992,1.383385329
0.79768013,0.526832203,1.236528752,1.330372,1.087486213,1.643377587,0.845319711,1.471924481,1.423891029,0.001475147,0.010594852,0.955749564,4.76422E-05,3.440395481
0.802091998,0.465889301,1.222486452,1.290573324,1.140010803,1.700197012,0.855223106,1.54846118,1.386027163,0.004924083,6.489929332,1.010040094,7.57147E-05,2.048339682
0.787520719,0.577352737,1.18026366,1.195975842,1.050675871,1.601646642,0.844443614,1.453875408,1.337336964,0.004724039,0.002245606,0.552929097,0.021212285,0.419044777
0.819389354,0.603818324,1.258722835,1.222402924,1.10015012,1.653800915,0.867804484,1.533380511,1.353086308,0.001186854,0.033858345,0.0802068,0.011842222,2.595097974
0.767619633,0.574906335,1.22061123,1.210950768,0.988442318,1.688764426,0.881404896,1.620393694,1.415092592,0.015013754,0.004664868,0.033759756,0.014260363,4.650999359
0.853453936,0.654019787,1.280394669,1.195353024,1.047010964,1.686881103,0.918783067,1.519450796,1.408053289,0.000145345,0.147281154,0.225031057,0.084568379,1.440503515
0.202154792,0.919304934,4.079203516,1.11379267,0.438303664,0.514401696,0.165088903,2.578388575,0.681213867,1683.137569,0,0.160819182,0,0.627174975
0.161686001,0.66511031,3.639638047,0.957002953,0.378470462,0.480455806,0.163625449,2.231573532,0.602484719,157.4080934,0,0.012012571,0,0.461276757
0.213040275,0.729700299,3.224569245,0.774966901,0.310500302,0.465666213,0.136995182,6.689030527,0.569019054,748.6031135,0,0.00319626,0,1.683170453
0.261655402,1.218859732,4.3876061,1.220269911,0.591265447,0.606794948,0.200130056,2.572896009,0.855293587,28.1814247,0,17.70689812,0,2.308039985
0.21355388,1.254581532,4.488641971,1.302242362,0.409812231,0.632898166,0.202029217,3.038128962,0.727080596,17.79426771,0,39.72104827,0.000169315,5.695257904
0.283398696,1.342454386,4.474296916,1.150175039,0.409290086,0.569303489,0.191039255,3.632360108,0.687397162,566.5500777,0,134.4051625,0,8.569298116
0.255496242,1.000453391,3.393319583,1.093543912,0.392336032,0.510590004,0.157325382,2.287568954,0.567358681,591.2230194,0,0.741093791,0,1.55662151
0.225816456,1.312046345,4.320846317,1.010602431,0.371794455,0.603611799,0.213961017,2.851131089,0.716440911,766.4100972,0,2.932289173,0,2.271458868
0.278783981,1.127833773,3.61977939,0.818489271,0.41164907,0.499922224,0.180806811,3.080111678,0.636296604,67.39601191,0,2.101144318,0,2.984873476
0.316732027,0.981704783,3.345749865,0.422542154,0.659132746,1.280002946,0.297305185,3.016871362,0.966004099,0.241798779,0,0,0,9.000294419
0.256059612,0.91485958,3.985654264,0.682027006,0.76536997,1.374212216,0.392274312,2.174775945,0.835628945,1.938989646,0,0.00313917,0,21.48092906
0.304264448,0.530588424,2.105671966,0.729785135,0.528391619,1.155176034,0.25825144,1.884351653,0.851120363,0.46631165,0,0,0,2.187061983
0.611229475,0.283568639,1.150959488,0.899427537,0.919849381,1.706958271,0.516520179,1.552392652,0.94545544,0,0,0,0.000343475,19.29246381
0.267114028,0.877247834,4.480309903,0.523457729,0.572124403,1.741470845,0.342445228,3.507603902,1.39064278,7.523249687,0,0,0,6.196188468
0.293548417,0.848797608,3.432890331,0.616961844,0.358076827,1.499746541,0.189528255,3.461224821,1.079932344,0.042255186,0,0,0,5.757350741
0.284291699,1.009430708,3.530137122,0.890202106,0.564519219,1.49702864,0.326566011,2.622799562,0.91706345,1.394169872,0,0,0,12.69228281
0.214549917,0.943697205,3.831816605,0.434028846,0.618464774,1.456920042,0.346110754,3.760502738,0.867132044,0.01411295,0.005726578,0,0,4.03331031
0.342563262,1.299204423,4.300584704,0.603508331,0.465447915,1.539421396,0.307458412,4.162324885,0.960154754,3.266401196,0,0.002880374,0,14.55352681
0.552630193,0.522805164,1.484306072,0.760334316,0.904302572,1.168053079,0.378182028,2.019024649,0.893516562,2.004823442,0,0,0.003196592,8.017829656
0.354190283,0.679749664,2.929089775,0.419376944,0.285495974,1.296838412,0.372217911,4.298191864,0.985755724,703.7351138,0.001794998,0,0.682919893,1.617888286
0.32267376,1.385930476,4.619566982,0.652522396,0.753665632,0.57125874,0.123564873,3.579270879,0.592387462,0.031120403,0,33.51877944,0.030393224,12.3148176
0.192397403,1.263513971,4.614937235,0.701283116,0.870373645,0.610524688,0.123108469,4.130115125,0.647613313,0.000624796,0.000190814,23.04390238,0,1.111544937
0.733848367,0.409279043,1.984562562,0.596110602,1.134403368,0.312094399,0.112958743,2.905893351,0.304547234,1.065232774,55.46691484,36.88594489,0.005554111,16.36226213
0.446106682,1.003760422,2.84393308,0.508137427,1.163797172,0.45375677,0.107750652,4.924412286,0.551905895,0.924474479,0,0.014924796,0.000692773,42.48304833
0.600004668,1.035585767,3.730143239,0.59313195,1.044455578,0.455618267,0.112701575,4.796535626,0.67152349,2.6747364,44.03411215,128.0390406,0.007044938,48.78234397
1.033340412,0.677416465,1.891708876,0.845505994,1.317029233,0.432522135,0.178683949,3.754063329,0.448208305,0.534548101,200.9857599,16.31515764,0.215929092,103.3897851
0.34461161,2.214081492,6.806715877,0.59787804,0.74167895,0.586037521,0.170075164,5.78612903,0.854413554,0.146620216,96.36395336,10459.57202,0.001160994,23.97802707
0.465453658,0.938920838,4.010511273,0.703341927,1.305796117,0.363059189,0.161893982,3.463142694,0.620162646,4.58192955,0.020219873,9.831509035,0.0219432,4.101191662
0.319710505,1.748282618,6.790158917,0.81557388,0.83411385,0.542647937,0.197946952,4.935161877,0.695548792,1.197709002,0,3.716892621,0.073818308,45.25676855
