gene_id,nth_CS297,nth_CS298,nth_CS300,nth_CS301,nth_CS302,nth_CS303,nth_CS305,nth_CS306,nth_CS308,nth_CS320,nth_CS321,nth_CS323
gene12245,609,493,614,608,559,854,949,653,773,603,570,583
gene12244,9719,10848,10302,9008,10268,15238,15391,13948,15651,10533,11526,11089
gene12247,1567,1840,1666,1095,1802,1399,1529,1068,1233,1849,1906,1937
gene12246,593,477,890,335,587,821,693,874,715,593,663,652
gene12241,2199,2178,2583,1819,2318,1902,1491,1587,1631,1858,2113,2243
gene4565,106,134,163,131,146,125,181,79,148,155,119,154
gene12243,4493,4653,5030,4074,4509,5077,4699,5262,4568,4061,5371,5311
gene12242,4686,4958,4637,3369,4837,4394,3798,3132,3572,5242,5918,6265
gene12249,1719,1809,1884,1660,1832,1826,1558,1690,1832,1713,1686,1871
gene12248,2013,263,1886,1601,176,274,1680,1133,978,2255,2065,613
gene4494,5219,5751,6605,5919,6153,5208,5587,5909,5453,5910,6364,6730
gene4495,3280,3329,3519,2722,3080,3975,1243,3888,1401,2996,3477,3492
gene4496,1963,2166,1969,1772,1914,1458,1629,1085,1253,1791,2142,2197
gene4497,3253,3325,3774,2722,3329,2897,2246,2471,2339,3000,3876,4126
gene4490,840,1036,1228,1004,869,871,769,1013,946,926,798,927
gene4491,1146,973,1124,624,1001,1130,691,774,733,1062,1258,1171
gene4492,4314,3802,3355,3233,3174,3839,7353,4038,4289,4675,5103,9124
gene4493,1901,1877,2098,1833,1964,1781,1524,1687,2098,2284,2100,2660
gene4498,1445,436,1258,309,337,1296,985,497,350,1003,885,455
gene4499,500,676,775,543,640,654,583,675,798,618,624,622
gene6440,3272,3386,3755,3083,3558,3408,3424,3013,2982,3491,3517,3618
gene3118,0,0,0,0,0,10,42,52,57,3,0,0
gene3119,765,861,956,819,708,939,1217,1001,825,1207,1365,1439
gene4728,791,867,741,562,712,851,989,710,653,970,1204,1248
gene4729,100,120,128,154,133,138,197,232,217,81,123,100
gene3110,17444,19454,20082,18378,17875,21805,22171,22178,23215,19882,20470,19402
gene3111,10,18,20,19,19,24,11,20,18,14,16,18
gene3112,229,169,165,106,137,167,124,187,168,123,267,262
gene3113,10419,9482,11361,8707,10010,5319,5300,6117,11273,13403,10873,16286
gene3114,115,102,83,8,45,74,48,97,52,63,137,150
gene3115,2,0,11,10,12,0,60,17,32,2,5,9
gene3116,14,5,10,6,14,44,32,25,18,4,9,18
gene4725,0,0,0,0,3,0,0,0,0,0,0,0
gene10309,0,2,0,0,0,0,4,0,2,0,0,0
gene11320,0,0,0,0,0,9,0,0,0,0,6,0
gene10306,3,5,6,0,9,0,0,0,3,11,5,4
gene10307,33,13,14,17,18,12,10,11,7,20,23,15
gene10304,668,706,828,652,710,720,678,574,765,1583,1297,1525
gene12240,3734,4007,4098,3262,3534,3434,2770,2713,2757,3593,4136,4206
gene10305,779,865,767,600,746,745,643,497,591,1100,1068,1284
gene9376,1532,1885,1875,1396,1702,1272,1177,1147,1100,1635,1966,2047
gene10302,6679,9671,7931,10184,5727,17294,18178,22979,25092,7873,9269,7703
gene3710,2667,2338,2648,1788,2219,3038,2193,2238,2230,2551,3110,3085
gene10303,24,23,10,8,17,19,31,19,16,20,40,40
gene10300,1135,1160,915,814,1034,1139,1071,735,896,1626,1291,1497
gene10301,1311,1560,1418,892,1050,2033,1689,1808,1610,1550,1753,1743
gene11316,0,0,0,0,0,0,0,0,0,0,0,0
gene3711,485,487,359,309,302,661,417,708,498,146,380,431
gene5947,0,0,0,0,0,0,0,0,0,2,0,0
gene11268,1531,1565,1469,1296,1351,1251,1234,699,1169,2121,1876,2011
gene11269,50,128,45,65,87,53,30,30,23,63,37,44
gene11262,922,982,922,754,884,1034,991,741,962,1075,1129,1102
gene11263,2048,2090,1814,1619,2327,2200,1698,1844,1826,2317,2675,3011
gene11260,4173,4343,4151,3894,4042,4097,4239,4082,3862,4127,4606,4704
gene11261,3511,3761,4170,3646,4085,3466,3658,4030,2933,3875,4585,5017
gene11266,242,254,307,373,306,330,377,428,420,291,278,276
gene11267,249,219,312,112,157,232,182,222,173,282,390,418
gene11264,5671,5886,5606,5667,4967,7300,7828,7670,6899,5527,6278,6117
gene11265,235,377,284,328,315,185,215,116,146,389,281,339
gene10243,632,553,458,454,472,449,424,366,381,595,617,628
gene10242,1240,1192,1098,635,1009,1854,1192,1452,1761,1180,1466,1467
gene10241,4224,4592,4056,4083,3845,4969,5632,5404,5114,4462,4934,4722
gene10240,222,248,245,249,240,208,241,175,235,237,236,227
gene10247,1912,1982,2160,1703,1913,2251,2055,2715,1965,2122,2884,2880
gene10246,6906,7146,6692,5007,7489,6716,5525,5850,5358,7912,8317,9273
gene10245,3900,4060,4156,3219,3905,4393,3820,4222,4059,3909,4284,1906
gene10244,2198,2698,2149,1939,3246,1283,1107,329,680,3875,3466,5366
gene5453,6288,6373,6000,5855,5841,4200,4805,2649,3389,5089,5037,5791
gene5452,2018,2627,2245,2184,2634,1844,1911,1559,1700,2680,2551,3151
gene10249,258,271,211,119,214,297,193,175,182,224,412,319
gene5450,6170,6636,6176,5023,6232,6545,6155,6089,5591,5675,6542,7112
gene5457,1565,1463,1085,984,1040,1338,1066,1112,1209,1669,1742,1733
gene5456,117,130,156,132,125,97,100,183,92,40,84,105
gene5455,694,700,519,306,674,377,280,188,245,766,727,840
gene5454,672,705,628,714,639,583,881,447,646,748,688,702
gene12881,2565,3251,2500,2529,3110,2773,2129,2736,3189,1484,1653,1698
gene3714,684,827,542,663,626,258,579,36,78,1642,637,1098
gene2513,0,2,0,0,0,0,5,0,4,4,7,0
gene5869,506,422,403,210,353,329,154,275,258,386,493,521
gene2036,244,269,181,56,150,178,91,132,161,207,403,434
gene213,976,1217,1263,1252,1318,969,1040,546,808,1034,808,1207
gene212,161,159,101,80,156,155,151,143,157,133,178,180
gene211,0,0,0,0,0,0,0,0,0,0,0,0
gene210,0,4,0,0,0,0,2,0,3,0,4,4
gene217,150,143,122,110,167,72,100,6,41,71,62,84
gene216,122,150,109,195,163,55,49,69,110,268,178,318
gene215,6019,6213,5434,4710,5635,6520,7535,4390,5517,7866,7634,8073
gene214,150266,163416,171914,147673,132358,278535,212286,192907,140750,215833,221355,182575
gene219,20,11,10,24,12,14,0,10,4,11,20,30
gene218,0,0,0,0,0,0,0,0,0,0,0,0
