ids,region,type,range,colony,site,treatment,original_name,short_name
nth_CS297,NZ,heads,invasive,NA,AHI,NA,nth_CS297,AHI_A
nth_CS298,NZ,heads,invasive,NA,AHI,NA,nth_CS298,AHI_B
nth_CS300,NZ,heads,invasive,NA,AHI,NA,nth_CS300,AHI_C
nth_CS301,NZ,heads,invasive,NA,AHI,NA,nth_CS301,AHI_D
nth_CS302,NZ,heads,invasive,NA,AHI,NA,nth_CS302,AHI_E
nth_CS303,NZ,heads,invasive,NA,WAI,NA,nth_CS303,WAI_A
nth_CS305,NZ,heads,invasive,NA,WAI,NA,nth_CS305,WAI_B
nth_CS306,NZ,heads,invasive,NA,WAI,NA,nth_CS306,WAI_C
nth_CS308,NZ,heads,invasive,NA,WAI,NA,nth_CS308,WAI_D
nth_CS320,NZ,heads,invasive,NA,RAN,NA,nth_CS320,RAN_A
nth_CS321,NZ,heads,invasive,NA,RAN,NA,nth_CS321,RAN_B
nth_CS323,NZ,heads,invasive,NA,RAN,NA,nth_CS323,RAN_C
