LOC,LH_number,Name,Pathway,Type,Symbol,FB_number,GB_number,Comment
105667498,NA,protein Tube [KO:K04733] [EC:2.7.11.1],TOLL,NA,NA,NA,NA,NA
105667577,NA,uncharacterized protein LOC105667577 [KO:K20674] [EC:3.4.21.-],TOLL,NA,NA,NA,NA,NA
105668025,LH26207,transmembrane protease serine 9-like,SPs,SPs,SP1,NA,GB45701,NA
105668034,LH13305,trypsin-1-like,SPs,SPs,SP1,NA,GB45701,NA
105668084,NA,putative helicase MOV-10 isoform X1,RNAi-associated,NA,NA,NA,NA,NA
105668121,NA,protein toll-like [KO:K18809],TOLL,NA,NA,NA,NA,NA
105668156,NA,ribonuclease 3,RNAi-associated,NA,NA,NA,NA,NA
105668206,LH13855,transmembrane protease serine 9-like,SPs,SPs,SP1,NA,GB45701,NA
105668207,LH13861,chymotrypsin-1-like,SPs,SPs,SP30,NA,GB54246,NA
105668208,LH13859,chymotrypsin-1-like,SPs,SPs,SP1,NA,GB45701,NA
105668293,LH13859,chymotrypsin-1-like,SPs,SPs,SP30,NA,GB54246,NA
105668295,LH13858,chymotrypsin-2-like,SPs,SPs,SP1,NA,GB45701,NA
105668359,NA,ubiquitin-conjugating enzyme E2-17 kDa [KO:K06689] [EC:2.3.2.23],Imd,NA,NA,NA,NA,NA
105668576,NA,protein toll-like [KO:K18809],TOLL,NA,NA,NA,NA,NA
105668578,NA,protein toll-like [KO:K18809],TOLL,NA,NA,NA,NA,NA
105668599,NA,LOW QUALITY PROTEIN: protein toll-like [KO:K18809],TOLL,NA,NA,NA,NA,NA
105668602,NA,protein toll-like [KO:K18809],TOLL,NA,NA,NA,NA,NA
105668729,NA,nuclear factor NF-kappa-B p100 subunit isoform X1 [KO:K02580],Imd,NA,NA,NA,NA,NA
105668788,NA,endoribonuclease Dcr-1,RNAi,NA,NA,NA,NA,NA
105668871,LH14237,phenoloxidase 2-like,PO,PO,PPO,NA,GB43738,NA
105668992,NA,RING finger protein 17-like isoform X1,RNAi-associated,NA,NA,NA,NA,NA
105669237,NA,probable ATP-dependent RNA helicase spindle-E,RNAi-associated,NA,NA,NA,NA,NA
105669250,NA,protein maelstrom homolog isoform X1,RNAi-associated,NA,NA,NA,NA,NA
105669395,NA,transcription factor kayak isoform X1 [KO:K09031],Imd,NA,NA,NA,NA,NA
105669425,NA,dual specificity mitogen-activated protein kinase kinase 6 [KO:K04432] [EC:2.7.12.2],Imd,NA,NA,NA,NA,NA
105669477,NA,protein toll-like isoform X1 [KO:K18809],TOLL,NA,NA,NA,NA,NA
105669757,LH15335,serine proteinase stubble,SPs,SPs,SP30,NA,GB54246,NA
105669925,LH15418,protein argonaute-2 isoform X1,RNAi,NA,NA,NA,NA,NA
105670012,NA,LOW QUALITY PROTEIN: putative ATP-dependent RNA helicase me31b,RNAi-associated,NA,NA,NA,NA,NA
105670067,LH26217,serine protease nudel-like,TOLL,SPs,SP49,NA,GB52191,NA
105670179,NA,stress-activated protein kinase JNK isoform X1 [KO:K04440] [EC:2.7.11.24],Imd,NA,NA,NA,NA,NA
105670203,LH15791,autophagy protein 5,Autophagy-Endocytosis,NA,Atg5,FBgn0029943,NA,NA
105670277,LH15872,endoribonuclease Dicer,RNAi,NA,Dcr-2,FBgn0034246,NA,NA
105670314,NA,RISC-loading complex subunit tarbp2-like,RNAi,NA,NA,NA,NA,NA
105670387,LH10621,putative helicase MOV-10,RNAi,NA,armi,FBgn0041164,NA,putative
105670610,LH16210,uncharacterized 105670610,TOLL,NA,spz5,FBgn0035379,NA,putative
105670658,LH26230,protein aubergine-like,RNAi,NA,aub,FBgn0000146,NA,NA
105670927,LH16523,venom protease-like,TOLL,SPs,SP14,NA,GB55007,NA
105671027,NA,ERI1 exoribonuclease 3,RNAi-associated,NA,NA,NA,NA,NA
105671115,LH16665,serine protease persephone-like,SPs,SPs,SP1,NA,GB45701,NA
105671120,LH16669,serine protease snake-like,SPs,SPs,SP30,NA,GB54246,NA
105671136,LH16689,serine protease 52-like,SPs,SPs,SP1,NA,GB45701,NA
105671290,LH16911,autophagy protein 12-like,Autophagy-Endocytosis,NA,Atg12,FBgn0036255,NA,NA
105671298,LH16975,serine proteinase stubble-like,SPs,SPs,SP30,NA,GB54246,NA
105671382,NA,TGF-beta-activated kinase 1 and MAP3K7-binding protein 2 isoform X1 [KO:K04404],Imd,NA,NA,NA,NA,NA
105671541,LH17139,protein croquemort-like,Autophagy-Endocytosis,NA,SCR-B9,NA,GB44045,NA
105671571,NA,mitogen-activated protein kinase kinase kinase 4 isoform X1 [KO:K04428] [EC:2.7.11.25],Imd,NA,NA,NA,NA,NA
105671646,NA,transcription factor AP-1 [KO:K04448],Imd,NA,NA,NA,NA,NA
105671691,NA,ATP-dependent RNA helicase vasa,RNAi-associated,NA,NA,NA,NA,NA
105671698,LH17236,uncharacterized 105671698,TOLL,NA,spz4,FBgn0032362,NA,putative
105671753,LH10783,trypsin-3-like,SPs,SPs,SP1,NA,GB45701,NA
105671819,LH17364,scavenger receptor class B member 1-like,Autophagy-Endocytosis,NA,SCR-B5,NA,GB49363,NA
105671849,LH17362,serine/threonine-protein kinase pelle,TOLL,NA,pll,NA,GB49344,NA
105671866,LH26147,serine protease gd-like,SPs,SPs,SP46,NA,GB50862,NA
105671884,LH17525,venom serine protease 34-like,SPs,SPs,SP1,NA,GB45701,NA
105671997,LH10810,superkiller viralicidic activity 2-like 2,RNAi-associated,NA,NA,NA,NA,NA
105672003,NA,uncharacterized protein LOC105672003 [KO:K20699],Imd,NA,NA,NA,NA,NA
105672004,NA,FAS-associated factor 1 isoform X1 [KO:K20703],Imd,NA,NA,NA,NA,NA
105672041,NA,RISC-loading complex subunit tarbp2-like isoform X1,RNAi,NA,NA,NA,NA,NA
105672091,LH10823,TNF receptor-associated factor 4,JNK,NA,Traf1,NA,GB46952,NA
105672144,NA,LOW QUALITY PROTEIN: microtubule-associated protein futsch-like [KO:K10380],Imd,NA,NA,NA,NA,NA
105672208,NA,ankyrin-2-like isoform X1 [KO:K10380],Imd,NA,NA,NA,NA,NA
105672256,LH26186,protein croquemort-like,Autophagy-Endocytosis,NA,SCR-B9,NA,GB44045,NA
105672359,LH17996,thiamine transporter 2-like,SPs,SPs,serpin-5,NA,GB54611,putative
105672519,NA,beta-TrCP [KO:K03362],TOLL,NA,NA,NA,NA,NA
105672556,LH26246,signal transducer and activator of transcription 5B,JAK-STAT,NA,Stat92E,FBgn0016917,NA,NA
105672601,NA,mitogen-activated protein kinase 14B-like isoform X1 [KO:K04441] [EC:2.7.11.24],Imd,NA,NA,NA,NA,NA
105672690,NA,maternal protein tudor,RNAi-associated,NA,NA,NA,NA,NA
105672852,NA,JNK1/MAPK8-associated membrane protein,JNK,NA,NA,NA,NA,NA
105672853,LH18471,peptidoglycan recognition protein-like,Imd,PGRPs,PGRP-LC,NA,GB42500,NA
105672888,LH18592,serine proteinase stubble,SPs,SPs,SP1,NA,GB45701,NA
105673194,LH18786,probable 26S proteasome non-ATPase regulatory subunit 3,Autophagy-Endocytosis,NA,Rpn3,NA,GB54573,NA
105673362,NA,limulus clotting factor C-like [KO:K20674] [EC:3.4.21.-],TOLL,NA,NA,NA,NA,NA
105673363,NA,limulus clotting factor C-like [KO:K20674] [EC:3.4.21.-],TOLL,NA,NA,NA,NA,NA
105673364,NA,serine protease 30-like [KO:K20674] [EC:3.4.21.-],TOLL,NA,NA,NA,NA,NA
105673825,LH19458,uncharacterized 105673825,JNK,NA,egr,FBgn0033483,NA,putative
105673839,LH19645,transmembrane protease serine 9-like,SPs,SPs,SP30,NA,GB54246,NA
105673840,LH26225,trypsin-3-like,SPs,SPs,SP30,NA,GB54246,NA
105673841,LH19651,polyserase-2-like,SPs,SPs,SP1,NA,GB45701,NA
105673881,LH26221,"beta-1,3-glucan-binding protein-like",TOLL,NA,GNBP1,NA,GB42981,putative
105673935,LH19600,protein aubergine-like,RNAi,NA,aub,FBgn0000146,NA,NA
105673950,LH19649,chymotrypsin-1-like,SPs,SPs,SP1,NA,GB45701,NA
105673951,LH26223,chymotrypsin-1-like,SPs,SPs,SP30,NA,GB54246,NA
105674013,NA,protein toll-like [KO:K18809],TOLL,NA,NA,NA,NA,NA
105674053,LH19752,protein toll,TOLL,NA,Toll-8,NA,GB48399,NA
105674084,LH26125,atrial natriuretic peptide-converting enzyme,SPs,SPs,SP30,NA,GB54246,NA
105674108,LH26218,transmembrane protease serine 9,SPs,SPs,SP1,NA,GB45701,NA
105674123,LH26218,hemicentin-2,SPs,SPs,SP30,NA,GB54246,putative
105674245,NA,LOW QUALITY PROTEIN: dual oxidase 2-like [KO:K13411] [EC:1.11.1.-_1.6.3.1],Imd,NA,NA,NA,NA,NA
105674371,LH20257,venom serine protease-like,SPs,SPs,SP1,NA,GB45701,NA
105674398,LH20312,putative ATP-dependent RNA helicase TDRD12,RNAi-associated,NA,NA,NA,NA,NA
105674418,LH26240,"beta-1,3-glucan-binding protein-like",TOLL,NA,GNBP1,NA,GB42981,putative
105674426,LH20260,"beta-1,3-glucan-binding protein-like",TOLL,NA,GNBP1,NA,GB42981,putative
105674427,LH26239,"beta-1,3-glucan-binding protein-like",TOLL,NA,GNBP1,NA,GB42981,putative
105674583,NA,5'-3' exoribonuclease 1,RNAi-associated,NA,NA,NA,NA,NA
105674707,NA,protein toll-like [KO:K18809],TOLL,NA,NA,NA,NA,NA
105674712,NA,protein toll-like [KO:K18809],TOLL,NA,NA,NA,NA,NA
105674729,NA,mitochondrial cardiolipin hydrolase,RNAi-associated,NA,NA,NA,NA,NA
105674838,NA,dual oxidase isoform X1 [KO:K13411] [EC:1.11.1.-_1.6.3.1],Imd,NA,NA,NA,NA,NA
105675030,LH20772,serine protease nudel,SPs,SPs,SP30,NA,GB54246,NA
105675209,LH11154,ubiquitin-like modifier-activating enzyme atg7,Autophagy-Endocytosis,NA,Atg7,FBgn0034366,NA,NA
105675319,NA,tudor and KH domain-containing protein isoform X1,RNAi-associated,NA,NA,NA,NA,NA
105675402,LH21126,serine proteinase stubble,SPs,SPs,SP2,NA,GB45700,NA
105675412,LH21370,lysozyme-like,TOLL-Imd,AMPs,Lys-2,NA,GB40163,NA
105675559,LH21330,"nitric oxide synthase, salivary gland",Imd,NA,NOS,NA,GB53651,putative
105675580,NA,uncharacterized protein LOC105675580 isoform X1,RNAi-associated,NA,NA,NA,NA,NA
105675625,LH25930,uncharacterized 105675625,Autophagy-Endocytosis,NA,NimA,NA,GB50507,putative
105675647,LH21439,uncharacterized 105675647,TOLL,NA,NT1,FBgn0261526,NA,putative
105675717,LH21592,defensin-2,TOLL,AMPs,Def,FBgn0010385,NA,NA
105675723,LH21590,serine protease snake-like,SPs,SPs,SP30,NA,GB54246,NA
105675725,LH25941,serine protease snake-like,SPs,SPs,SP1,NA,GB45701,NA
105675726,LH25945,trypsin-1-like,SPs,SPs,SP1,NA,GB45701,NA
105675758,LH21501,uncharacterized protein LOC105675758 isoform X1,RNAi-associated,NA,NA,NA,NA,NA
105675768,LH26259,peptidoglycan recognition protein-like,TOLL-Imd,PGRPs,PGRP-LC,NA,GB42500,NA
105675773,LH26258,peptidoglycan-recognition protein SC2-like,TOLL-Imd,PGRPs,PGRP-LC,NA,GB42500,NA
105675778,NA,serine/threonine-protein kinase 10-like isoform X1 [KO:K04431] [EC:2.7.12.2],Imd,NA,NA,NA,NA,NA
105675985,LH21755,trinucleotide repeat-containing gene 6C protein isoform X1,RNAi-associated,NA,NA,NA,NA,NA
105676037,NA,dual oxidase-like isoform X1 [KO:K13411] [EC:1.11.1.-_1.6.3.1],Imd,NA,NA,NA,NA,NA
105676050,LH21871,TNF receptor-associated factor 6-A,JNK,NA,Traf1,NA,GB46952,NA
105676059,LH21818,RISC-loading complex subunit TARBP2-like,RNAi,NA,NA,NA,NA,NA
105676081,NA,baculoviral IAP repeat-containing protein 7-B isoform X1 [KO:K16060],Imd,NA,NA,NA,NA,NA
105676082,LH21936,putative inhibitor of apoptosis,Imd,NA,Diap2,FBgn0015247,NA,putative
105676117,LH21919,cytokine receptor,JAK-STAT,NA,dome,FBgn0043903,NA,putative
105676160,NA,ubiquitin-conjugating enzyme E2 N [KO:K10580] [EC:2.3.2.23],Imd,NA,NA,NA,NA,NA
105676167,LH22008,JNK-interacting protein 3,JNK,NA,NA,NA,NA,NA
105676212,LH22070,trypsin-like,SPs,SPs,SP30,NA,GB54246,NA
105676271,LH22339,fas-associated death domain protein,Imd,NA,Fadd,FBgn0038928,NA,NA
105676298,LH22370,peptidoglycan-recognition protein 2,TOLL-Imd,PGRPs,PGRP-SA,NA,GB51741,NA
105676340,LH22200,mitogen-activated protein kinase kinase kinase 7-like,Imd,NA,Tak1,NA,GB48187,NA
105676587,LH22076,trypsin-like,SPs,SPs,SP1,NA,GB45701,NA
105676588,LH22076,trypsin-like,SPs,SPs,SP30,NA,GB54246,NA
105676589,LH22073,trypsin-1-like,SPs,SPs,SP1,NA,GB45701,NA
105676592,LH26250,probable RNA helicase armi,RNAi,NA,armi,FBgn0041164,NA,NA
105676633,LH22456,MAM and LDL-receptor class A domain-containing protein 2-like,Autophagy-Endocytosis,NA,SCR-C,NA,GB54506,putative
105676757,NA,uncharacterized protein LOC105676757 [KO:K20694],TOLL,NA,NA,NA,NA,NA
105676811,LH26160,scavenger receptor class B member 1,Autophagy-Endocytosis,NA,SCR-B10,NA,GB50866,NA
105676816,LH22601,"evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial",TOLL,NA,NA,NA,NA,NA
105677106,NA,cyclic AMP-dependent transcription factor ATF-7 [KO:K04450],Imd,NA,NA,NA,NA,NA
105677139,LH26165,transmembrane protease serine 9-like,SPs,SPs,SP30,NA,GB54246,NA
105677140,LH23042,uncharacterized 105677140,SPs,SPs,SP1,NA,GB45699,putative
