organism,accession,name,type,db
Rhopalosiphum padi virus,NP_046156.1,structural polyprotein [Rhopalosiphum padi virus],BLASTx,RefSeq
Escherichia virus HK022,NP_037691.1,IS903 transposase [Escherichia virus HK022],BLASTx,RefSeq
Deformed wing virus,NP_853560.2,polyprotein [Deformed wing virus],BLASTx,RefSeq
Kashmir bee virus,NP_851404.2,"structural polyprotein, partial [Kashmir bee virus]",BLASTx,RefSeq
Kashmir bee virus,YP_308660.1,VP1 [Kashmir bee virus],BLASTx,RefSeq
Shigella phage SfIV,YP_008766911.1,IS1 transposase B [Shigella phage SfIV],BLASTx,RefSeq
Thika virus,YP_009140561.1,putative polyprotein [Thika virus],BLASTx,RefSeq
Pseudomonas phage PS-1,YP_009222821.1,hypothetical protein [Pseudomonas phage PS-1],BLASTx,RefSeq
Pseudomonas phage PS-1,YP_009222823.1,head morphogenesis protein [Pseudomonas phage PS-1],BLASTx,RefSeq
Pseudomonas phage PS-1,YP_009222827.1,major capsid [Pseudomonas phage PS-1],BLASTx,RefSeq
Salmonella phage SJ46,YP_009293522.1,transposase [Salmonella phage SJ46],BLASTx,RefSeq
Linepithema humile picorna-like virus 1,AXA52544.1,putative RdRp [Linepithema humile picorna-like virus 1],BLASTx,Viljakainen
Linepithema humile picorna-like virus 1,AXA52545.1,putative capsid [Linepithema humile picorna-like virus 1],BLASTx,Viljakainen
Linepithema humile narna-like virus 1,AXA52546.1,putative RdRp [Linepithema humile narna-like virus 1],BLASTx,Viljakainen
Linepithema humile narna-like virus 1,AXA52547.1,hypothetical protein [Linepithema humile narna-like virus 1],BLASTx,Viljakainen
Linepithema humile bunyan-like virus 1,AXA52548.1,putative RdRp-complex [Linepithema humile bunyan-like virus 1],BLASTx,Viljakainen
Linepithema humile partiti-like virus 1,AXA52550.1,putative RdRp [Linepithema humile partiti-like virus 1],BLASTx,Viljakainen
Linepithema humile partiti-like virus 1,AXA52551.1,putative capsid [Linepithema humile partiti-like virus 1],BLASTx,Viljakainen
Linepithema humile toti-like virus 1,AXA52554.1,putative RdRp-complex [Linepithema humile toti-like virus 1],BLASTx,Viljakainen
Linepithema humile C virus 1,AXA52556.1,hypothetical protein [Linepithema humile C virus 1],BLASTx,Viljakainen
Linepithema humile C virus 1,AXA52557.1,"putative RdRp, partial [Linepithema humile C virus 1]",BLASTx,Viljakainen
Linepithema humile C virus 1,AXA52559.1,putative capsid [Linepithema humile C virus 1],BLASTx,Viljakainen
Linepithema humile rhabdo-like virus 1,AXA52562.1,putative RdRp-complex [Linepithema humile rhabdo-like virus 1],BLASTx,Viljakainen
Linepithema humile rhabdo-like virus 1,AXA52563.1,putative capsid [Linepithema humile rhabdo-like virus 1],BLASTx,Viljakainen
Linepithema humile rhabdo-like virus 1,AXA52565.1,hypothetical protein [Linepithema humile rhabdo-like virus 1],BLASTx,Viljakainen
Linepithema humile rhabdo-like virus 1,AXA52566.1,putative capsid [Linepithema humile rhabdo-like virus 1],BLASTx,Viljakainen
Linepithema humile rhabdo-like virus 1,AXA52567.1,hypothetical protein [Linepithema humile rhabdo-like virus 1],BLASTx,Viljakainen
Linepithema humile polycipivirus 2,AXA52574.1,putative RdRp-complex [Linepithema humile polycipivirus 2],BLASTx,Viljakainen
Linepithema humile virus 1,AXA52579.1,putative RdRp [Linepithema humile virus 1],BLASTx,Viljakainen
